,광역시도,시군,pop,moon,hong,ahn,yu,sim
153,충청남도,아산시,173795,73461.0,36741.0,38368.0,10252.0,13340.0
154,충청남도,서산시,98859,37376.0,24572.0,23237.0,5520.0,7016.0
155,충청남도,태안군,38740,12881.0,12666.0,8940.0,1626.0,2093.0
156,충청남도,금산군,32968,11182.0,9416.0,8787.0,1312.0,1679.0
157,충청남도,논산시,72434,28265.0,16948.0,18844.0,3503.0,3897.0
158,충청남도,계룡시,26530,9566.0,6261.0,6722.0,2222.0,1502.0
159,충청남도,당진시,95417,37191.0,23597.0,20852.0,4907.0,7638.0
160,충청남도,부여군,43288,13492.0,13761.0,11022.0,1881.0,2382.0
161,충청남도,서천군,34889,12554.0,9891.0,8744.0,1551.0,1647.0
162,충청남도,홍성군,59645,21021.0,16682.0,14251.0,3133.0,3845.0
163,충청남도,청양군,20667,6185.0,7104.0,5140.0,826.0,1080.0
164,충청남도,예산군,49668,13880.0,18911.0,11243.0,2319.0,2693.0
165,전라북도,전주시완산구,236383,157637.0,7003.0,50506.0,6977.0,12678.0
166,전라북도,전주시덕진구,187921,125375.0,5183.0,40188.0,5286.0,10773.0
167,전라북도,군산시,172330,109379.0,6360.0,42387.0,4638.0,8397.0
168,전라북도,익산시,192208,123422.0,6470.0,45737.0,5324.0,9644.0
169,전라북도,정읍시,73678,45894.0,2175.0,20111.0,1462.0,3109.0
170,전라북도,남원시,55371,35539.0,1939.0,13854.0,1098.0,2193.0
171,전라북도,김제시,57886,35870.0,2052.0,15880.0,1190.0,2265.0
172,전라북도,완주군,62470,41057.0,2107.0,13897.0,1515.0,3306.0
173,전라북도,진안군,18107,11918.0,819.0,3904.0,392.0,806.0
174,전라북도,무주군,17019,10381.0,1225.0,3998.0,434.0,723.0
175,전라북도,장수군,16079,10714.0,717.0,3353.0,342.0,688.0
176,전라북도,임실군,20381,12893.0,771.0,5009.0,403.0,904.0
177,전라북도,순창군,20126,12309.0,688.0,5624.0,324.0,755.0
178,전라북도,고창군,39188,23877.0,1215.0,11182.0,722.0,1433.0
179,전라북도,부안군,36647,22482.0,1507.0,9837.0,695.0,1622.0
180,전라남도,목포시,145476,77896.0,2584.0,53303.0,3013.0,7529.0
181,전라남도,여수시,185487,117586.0,4281.0,50228.0,4207.0,7384.0
182,전라남도,순천시,181451,122595.0,4525.0,40429.0,4326.0,7475.0
183,전라남도,나주시,71599,43967.0,1448.0,21011.0,1484.0,2686.0
184,전라남도,광양시,96384,63544.0,4100.0,20080.0,3145.0,4553.0
185,전라남도,담양군,33020,19961.0,698.0,10017.0,597.0,1212.0
186,전라남도,장성군,30670,17378.0,851.0,10167.0,674.0,1190.0
187,전라남도,곡성군,21247,12152.0,624.0,6850.0,340.0,795.0
