,Oil_store,Address,Price,Self,Brand,Location
4,현대오일뱅크㈜직영 도봉현대셀프주유소,서울 도봉구 도봉로 941 (도봉동),1509.0,Y,현대오일뱅크,도봉구
5,구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1514.0,Y,S-OIL,도봉구
6,한이에너지(주)KLP제1주유소,서울 도봉구 도봉로 596 (창동),1514.0,N,현대오일뱅크,도봉구
7,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1514.0,Y,S-OIL,도봉구
8,정다운셀프주유소,서울 도봉구 도봉로 635,1519.0,Y,SK에너지,도봉구
9,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),1519.0,Y,S-OIL,도봉구
10,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1535.0,Y,GS칼텍스,도봉구
11,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),1535.0,Y,GS칼텍스,도봉구
12,서현주유소,서울 도봉구 방학로 142 (방학동),1535.0,Y,S-OIL,도봉구
13,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1569.0,N,GS칼텍스,도봉구
14,노원교주유소,서울 도봉구 마들로 776 (도봉동),1572.0,Y,현대오일뱅크,도봉구
15,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1585.0,Y,현대오일뱅크,도봉구
16,현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,1598.0,N,현대오일뱅크,도봉구
17,오복주유소,서울 도봉구 방학로 43,1608.0,Y,S-OIL,도봉구
0,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1565.0,Y,SK에너지,강남구
1,지에스칼텍스(주)직영 산성주유소,서울 강남구 헌릉로 730,1575.0,Y,GS칼텍스,강남구
2,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1583.0,Y,SK에너지,강남구
3,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1593.0,Y,현대오일뱅크,강남구
4,방죽주유소,서울 강남구 밤고개로 215 (율현동),1597.0,Y,GS칼텍스,강남구
5,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),1608.0,N,현대오일뱅크,강남구
6,대교주유소,서울 강남구 강남대로 640 (신사동),1615.0,N,SK에너지,강남구
7,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),1618.0,N,GS칼텍스,강남구
8,SK서광주유소,서울 강남구 역삼로 142,1625.0,Y,SK에너지,강남구
9,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1635.0,Y,SK에너지,강남구
10,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),1639.0,N,S-OIL,강남구
11,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1648.0,Y,SK에너지,강남구
12,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1649.0,N,SK에너지,강남구
13,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1649.0,N,S-OIL,강남구
14,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1649.0,Y,SK에너지,강남구
15,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1667.0,Y,SK에너지,강남구
16,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,1669.0,Y,SK에너지,강남구
17,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,1675.0,N,GS칼텍스,강남구
18,일원주유소,서울 강남구 양재대로55길 3 (일원동),1675.0,Y,S-OIL,강남구
19,현대오일뱅크㈜직영 오천주유소,서울 강남구 봉은사로 503 (삼성동),1704.0,N,현대오일뱅크,강남구
20,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),1704.0,Y,GS칼텍스,강남구
21,현대오일뱅크㈜직영 삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1745.0,N,현대오일뱅크,강남구
22,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,1748.0,N,GS칼텍스,강남구
23,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1756.0,N,현대오일뱅크,강남구
24,현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),1788.0,N,현대오일뱅크,강남구
25,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,1857.0,N,현대오일뱅크,강남구
26,지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,1917.0,N,GS칼텍스,강남구
27,명품주유소,서울 강남구 도곡로 249 (역삼동),1938.0,N,S-OIL,강남구
28,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,1957.0,N,GS칼텍스,강남구
29,대청주유소,서울 강남구 개포로 654 (일원동),1976.0,N,SK에너지,강남구
30,(주)소모에너지엔테크놀러지 쎈트럴주유소,서울 강남구 삼성로 335,2038.0,N,GS칼텍스,강남구
31,경원주유소,서울 강남구 도산대로 428 (청담동),2040.0,N,S-OIL,강남구
32,갤러리아주유소,서울 강남구 압구정로 426,2045.0,N,SK에너지,강남구
33,SK논현주유소,서울 강남구 논현로 747 (논현동),2048.0,N,SK에너지,강남구
34,학여울주유소,서울 강남구 남부순환로 3170 (일원2동),2059.0,N,GS칼텍스,강남구
35,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),2093.0,N,GS칼텍스,강남구
36,뉴서울(강남),서울 강남구 언주로 716,2175.0,N,SK에너지,강남구
